,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
42,10740,KARANG ANYAR,JAKARTA PUSAT,Asian Restaurant,BBQ Joint,Indonesian Restaurant,Food Truck,Salad Place,Restaurant,Noodle House,Chinese Restaurant,Dumpling Restaurant,Donut Shop,3
43,10750,KARTINI,JAKARTA PUSAT,Café,Chinese Restaurant,Cupcake Shop,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Coffee Shop,3
44,11110,PINANGSIA,JAKARTA BARAT,Café,Indonesian Restaurant,Fast Food Restaurant,Chinese Restaurant,Seafood Restaurant,Coffee Shop,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
56,11250,JEMBATAN LIMA,JAKARTA BARAT,Food Truck,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
57,11260,KRENDANG,JAKARTA BARAT,Indonesian Meatball Place,Beer Garden,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
66,11430,JATIPULO,JAKARTA BARAT,Donut Shop,Indonesian Meatball Place,Italian Restaurant,Wine Bar,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
67,11440,TOMANG,JAKARTA BARAT,Coffee Shop,Indonesian Restaurant,Chinese Restaurant,Dessert Shop,Noodle House,American Restaurant,Food Truck,Soup Place,Snack Place,Italian Restaurant,3
70,11460,JELAMBAR BARU,JAKARTA BARAT,Chinese Restaurant,Noodle House,Indonesian Restaurant,Snack Place,Seafood Restaurant,Bakery,Pizza Place,Coffee Shop,Indonesian Meatball Place,Wine Bar,3
72,11470,TANJUNG DUREN SELATAN,JAKARTA BARAT,Coffee Shop,Chinese Restaurant,Dessert Shop,Japanese Restaurant,Sushi Restaurant,Bakery,Steakhouse,Restaurant,Noodle House,Korean Restaurant,3
73,11470,TANJUNG DUREN UTARA,JAKARTA BARAT,Coffee Shop,Chinese Restaurant,Dessert Shop,Japanese Restaurant,Sushi Restaurant,Bakery,Steakhouse,Restaurant,Noodle House,Korean Restaurant,3
74,11480,KEMANGGISAN,JAKARTA BARAT,Food Truck,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
75,11480,PALMERAH,JAKARTA BARAT,Food Truck,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
79,11530,KEBON JERUK,JAKARTA BARAT,Fast Food Restaurant,Steakhouse,Seafood Restaurant,Bakery,Pizza Place,Indonesian Restaurant,Coffee Shop,Chinese Restaurant,Dumpling Restaurant,Donut Shop,3
80,11540,SUKABUMI UTARA (ILIR),JAKARTA BARAT,Café,Indonesian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
82,11560,SUKABUMI SELATAN (UDIK),JAKARTA BARAT,Chinese Restaurant,Indonesian Restaurant,Restaurant,Wine Bar,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
85,11620,MERUYA UTARA (ILIR),JAKARTA BARAT,Noodle House,Coffee Shop,Indonesian Restaurant,American Restaurant,Asian Restaurant,Restaurant,Indonesian Meatball Place,Café,Italian Restaurant,Wine Bar,3
90,11720,KAPUK,JAKARTA BARAT,Café,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
96,11820,TEGAL ALUR,JAKARTA BARAT,Food Truck,Coffee Shop,Fast Food Restaurant,Asian Restaurant,Dumpling Restaurant,Indonesian Meatball Place,Indonesian Restaurant,Noodle House,Chinese Restaurant,Donut Shop,3
97,11830,PEGADUNGAN,JAKARTA BARAT,Café,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
98,11840,KALIDERES,JAKARTA BARAT,Fast Food Restaurant,Indonesian Restaurant,American Restaurant,Pizza Place,Donut Shop,Japanese Restaurant,Café,Asian Restaurant,Beer Garden,Betawinese Restaurant,3
100,12110,SELONG,JAKARTA SELATAN,Japanese Restaurant,Korean Restaurant,Coffee Shop,Dessert Shop,Food Truck,Indonesian Restaurant,Bistro,American Restaurant,Salad Place,Restaurant,3
101,12120,GUNUNG,JAKARTA SELATAN,Restaurant,Food Truck,Indonesian Restaurant,Noodle House,Wine Bar,Dessert Shop,Japanese Restaurant,Fast Food Restaurant,Bakery,Asian Restaurant,3
102,12130,KRAMAT PELA,JAKARTA SELATAN,Indonesian Restaurant,Coffee Shop,Food Truck,Café,Soup Place,Steakhouse,Dessert Shop,Noodle House,Beer Garden,Dim Sum Restaurant,3
103,12140,GANDARIA UTARA,JAKARTA SELATAN,Indonesian Restaurant,Coffee Shop,Soup Place,Restaurant,Food Truck,Bakery,Dessert Shop,Japanese Restaurant,Chinese Restaurant,Dumpling Restaurant,3
104,12150,CIPETE UTARA,JAKARTA SELATAN,Restaurant,Indonesian Restaurant,Coffee Shop,German Restaurant,Asian Restaurant,BBQ Joint,Bistro,Wine Bar,Dumpling Restaurant,Donut Shop,3
105,12160,MELAWAI,JAKARTA SELATAN,Indonesian Restaurant,Food Truck,Coffee Shop,Restaurant,Fast Food Restaurant,Food Court,Japanese Restaurant,Asian Restaurant,Chinese Restaurant,Wine Bar,3
106,12160,PULO,JAKARTA SELATAN,Indonesian Restaurant,Food Truck,Coffee Shop,Restaurant,Fast Food Restaurant,Food Court,Japanese Restaurant,Asian Restaurant,Chinese Restaurant,Wine Bar,3
107,12170,PETOGOGAN,JAKARTA SELATAN,Bakery,Café,Chinese Restaurant,Asian Restaurant,Soup Place,Snack Place,Dessert Shop,Noodle House,Coffee Shop,Wine Bar,3
108,12180,RAWA BARAT,JAKARTA SELATAN,Coffee Shop,Food Court,Restaurant,Indonesian Restaurant,Food Truck,Japanese Restaurant,Steakhouse,Seafood Restaurant,Chinese Restaurant,Korean Restaurant,3
109,12190,SENAYAN,JAKARTA SELATAN,Korean Restaurant,Restaurant,Coffee Shop,Indonesian Restaurant,Dessert Shop,Bakery,Japanese Restaurant,Bistro,Chinese Restaurant,Café,3
110,12210,GROGOL UTARA,JAKARTA SELATAN,Fast Food Restaurant,Indonesian Restaurant,Pizza Place,Coffee Shop,Food Truck,Seafood Restaurant,Food Court,Chinese Restaurant,Dumpling Restaurant,Donut Shop,3
111,12220,GROGOL SELATAN,JAKARTA SELATAN,Soup Place,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
113,12240,KEBAYORAN LAMA SELATAN,JAKARTA SELATAN,Bakery,Japanese Restaurant,Seafood Restaurant,Food Truck,Chinese Restaurant,Wine Bar,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
114,12240,KEBAYORAN LAMA UTARA,JAKARTA SELATAN,Bakery,Japanese Restaurant,Seafood Restaurant,Food Truck,Chinese Restaurant,Wine Bar,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
117,12270,PETUKANGAN SELATAN,JAKARTA SELATAN,Japanese Restaurant,Coffee Shop,Italian Restaurant,Indonesian Restaurant,Restaurant,Wine Bar,Dumpling Restaurant,Food Court,Chinese Restaurant,Café,3
118,12310,PONDOK PINANG,JAKARTA SELATAN,Bakery,Indonesian Restaurant,Food Truck,Wine Bar,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
121,12410,CIPETE SELATAN,JAKARTA SELATAN,Indonesian Restaurant,Dessert Shop,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Cupcake Shop,Coffee Shop,3
122,12420,GANDARIA SELATAN,JAKARTA SELATAN,Fast Food Restaurant,Indonesian Restaurant,Food Truck,Coffee Shop,Donut Shop,Japanese Restaurant,Café,Fried Chicken Joint,Bakery,Snack Place,3
124,12440,LEBAK BULUS,JAKARTA SELATAN,Food Truck,Sushi Restaurant,Asian Restaurant,Seafood Restaurant,Indonesian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,3
125,12450,PONDOK LABU,JAKARTA SELATAN,Coffee Shop,Café,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Indonesian Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
130,12530,TANJUNG BARAT,JAKARTA SELATAN,Café,Food Truck,Coffee Shop,Fast Food Restaurant,Asian Restaurant,Donut Shop,Indonesian Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
133,12560,CILANDAK TIMUR,JAKARTA SELATAN,Indonesian Restaurant,Asian Restaurant,Food Truck,American Restaurant,Soup Place,Snack Place,Food Court,Restaurant,Noodle House,Coffee Shop,3
138,12640,SRENGSENG SAWAH,JAKARTA SELATAN,Fast Food Restaurant,Steakhouse,Seafood Restaurant,Indonesian Restaurant,Coffee Shop,Café,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
139,12710,KUNINGAN BARAT,JAKARTA SELATAN,Coffee Shop,Asian Restaurant,Snack Place,Bakery,Indonesian Meatball Place,Food Truck,Wine Bar,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
140,12720,PELA MAMPANG,JAKARTA SELATAN,Snack Place,Bakery,Food Truck,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
141,12730,BANGKA,JAKARTA SELATAN,Restaurant,Coffee Shop,Fried Chicken Joint,Dim Sum Restaurant,Chinese Restaurant,Café,Japanese Restaurant,Pizza Place,Beer Garden,Asian Restaurant,3
147,12780,PANCORAN,JAKARTA SELATAN,Indonesian Restaurant,Restaurant,Coffee Shop,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
148,12790,MAMPANG PRAPATAN,JAKARTA SELATAN,Indonesian Restaurant,Acehnese Restaurant,Bakery,Noodle House,Middle Eastern Restaurant,Food Truck,Bed & Breakfast,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
149,12790,TEGAL PARANG,JAKARTA SELATAN,Indonesian Restaurant,Acehnese Restaurant,Bakery,Noodle House,Middle Eastern Restaurant,Food Truck,Bed & Breakfast,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
150,12810,TEBET BARAT,JAKARTA SELATAN,Indonesian Restaurant,Noodle House,Dessert Shop,Food Truck,Chinese Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Fast Food Restaurant,Seafood Restaurant,BBQ Joint,3
151,12820,TEBET TIMUR,JAKARTA SELATAN,Indonesian Restaurant,Steakhouse,Asian Restaurant,BBQ Joint,Seafood Restaurant,Bakery,Restaurant,Pizza Place,Noodle House,Indonesian Meatball Place,3
152,12830,KEBON BARU,JAKARTA SELATAN,Asian Restaurant,Bakery,Indonesian Restaurant,Coffee Shop,Steakhouse,Restaurant,Dessert Shop,Indonesian Meatball Place,Café,Wine Bar,3
153,12840,BUKIT DURI,JAKARTA SELATAN,Indonesian Restaurant,Asian Restaurant,Bakery,Restaurant,Pizza Place,Café,Wine Bar,Coffee Shop,Dumpling Restaurant,Donut Shop,3
156,12870,MENTENG DALAM,JAKARTA SELATAN,Asian Restaurant,Restaurant,Indonesian Restaurant,BBQ Joint,Bakery,Seafood Restaurant,Pizza Place,Noodle House,Indonesian Meatball Place,Wine Bar,3
157,12910,SETIABUDI,JAKARTA SELATAN,Coffee Shop,Café,Chinese Restaurant,Asian Restaurant,Dim Sum Restaurant,Restaurant,Food Court,Sushi Restaurant,Steakhouse,Pizza Place,3
158,12920,KARET,JAKARTA SELATAN,Coffee Shop,Café,Chinese Restaurant,Food Court,Asian Restaurant,Restaurant,Dim Sum Restaurant,Fast Food Restaurant,Sushi Restaurant,Steakhouse,3
159,12930,KARET SEMANGGI,JAKARTA SELATAN,Café,Coffee Shop,Japanese Restaurant,Restaurant,Bakery,Indonesian Restaurant,Middle Eastern Restaurant,Fast Food Restaurant,Donut Shop,Asian Restaurant,3
160,12940,KARET KUNINGAN,JAKARTA SELATAN,Asian Restaurant,Coffee Shop,Donut Shop,Indonesian Restaurant,Food Truck,Food Court,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
162,12960,MENTENG ATAS,JAKARTA SELATAN,Coffee Shop,Food Court,Restaurant,Pizza Place,Food Truck,Vietnamese Restaurant,Dim Sum Restaurant,Italian Restaurant,Fast Food Restaurant,Café,3
163,12970,PASAR MANGGIS,JAKARTA SELATAN,Café,Coffee Shop,Seafood Restaurant,Pizza Place,Food Truck,American Restaurant,Asian Restaurant,Bakery,Restaurant,Fast Food Restaurant,3
169,13140,PAL MERIAM,JAKARTA TIMUR,Indonesian Restaurant,Asian Restaurant,Café,Donut Shop,Steakhouse,Soup Place,Restaurant,Pizza Place,Coffee Shop,Wine Bar,3
171,13210,KAYU PUTIH,JAKARTA TIMUR,Indonesian Restaurant,Restaurant,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
172,13220,JATI,JAKARTA TIMUR,Indonesian Restaurant,Restaurant,Asian Restaurant,Bakery,Fried Chicken Joint,Japanese Restaurant,Dumpling Restaurant,Coffee Shop,Food Truck,Indonesian Meatball Place,3
173,13220,RAWAMANGUN,JAKARTA TIMUR,Indonesian Restaurant,Restaurant,Asian Restaurant,Bakery,Fried Chicken Joint,Japanese Restaurant,Dumpling Restaurant,Coffee Shop,Food Truck,Indonesian Meatball Place,3
174,13230,PISANGAN TIMUR,JAKARTA TIMUR,Food Truck,Asian Restaurant,Soup Place,Pizza Place,Indonesian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,3
175,13240,CIPINANG,JAKARTA TIMUR,Coffee Shop,Fried Chicken Joint,Asian Restaurant,Donut Shop,Seafood Restaurant,Indonesian Meatball Place,Indonesian Restaurant,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,3
176,13250,JATINEGARA KAUM,JAKARTA TIMUR,Indonesian Restaurant,Café,Pizza Place,Noodle House,Asian Restaurant,Fast Food Restaurant,Japanese Restaurant,Food Truck,Donut Shop,Dessert Shop,3
181,13340,CIPINANG CEMPEDAK,JAKARTA TIMUR,Food Truck,Asian Restaurant,Indonesian Restaurant,Wine Bar,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
185,13420,CIPINANG MUARA,JAKARTA TIMUR,Middle Eastern Restaurant,Wine Bar,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,3
188,13450,PONDOK KELAPA,JAKARTA TIMUR,Indonesian Restaurant,Café,Food Truck,Asian Restaurant,Indonesian Meatball Place,Italian Restaurant,Cupcake Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
195,13530,BALEKAMBANG,JAKARTA TIMUR,Restaurant,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
198,13560,PINANG RANTI,JAKARTA TIMUR,Indonesian Restaurant,Fast Food Restaurant,Donut Shop,Bakery,Pizza Place,Japanese Restaurant,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
206,13720,CIBUBUR,JAKARTA TIMUR,Donut Shop,Bakery,Indonesian Restaurant,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
221,13880,SETU,JAKARTA TIMUR,Snack Place,Seafood Restaurant,Coffee Shop,Indonesian Restaurant,Donut Shop,Soup Place,Restaurant,Pizza Place,Fast Food Restaurant,Wine Bar,3
222,13890,BAMBU APUS,JAKARTA TIMUR,Indonesian Restaurant,Seafood Restaurant,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
237,14210,KOJA (UTARA  SELATAN),JAKARTA UTARA,Indonesian Restaurant,Food Truck,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
242,14250,PEGANGSAAN DUA,JAKARTA UTARA,Seafood Restaurant,Indonesian Restaurant,Restaurant,Coffee Shop,Wine Bar,Café,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
243,14260,TUGU SELATAN,JAKARTA UTARA,Restaurant,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
244,14260,TUGU UTARA,JAKARTA UTARA,Restaurant,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
254,14420,PADEMANGAN BARAT,JAKARTA UTARA,Seafood Restaurant,Coffee Shop,Food Court,Indonesian Restaurant,Café,Sushi Restaurant,American Restaurant,Soup Place,Donut Shop,Noodle House,3
259,14460,KAPUK MUARA,JAKARTA UTARA,Coffee Shop,Pizza Place,Indonesian Restaurant,Chinese Restaurant,Steakhouse,BBQ Joint,Japanese Restaurant,Wine Bar,Dumpling Restaurant,Donut Shop,3
260,14470,KAMAL MUARA,JAKARTA UTARA,Chinese Restaurant,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Bed & Breakfast,Malay Restaurant,Bistro,Indonesian Restaurant,Bakery,BBQ Joint,3
